bibnum,title,author,isbn,publicationyear,publisher,itemtype,itemcollection,floatingitem,itemlocation,reportdate,itemcount,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,subject_10,subject_11,subject_12,subject_13,subject_14,subject_15,subject_16,subject_17,subject_18,subject_19,subject_20,subject_21,subject_22
2795416,Illinois in the War of 1812,"Ferguson, Gillum","0252036743, 9780252036743",[2012],"University of Illinois Press,",acbk,canf,NA,cen,2018-05-01T00:00:00.000,1,Indians of North America Wars Illinois, Indians of North America Wars 1812 1815, Illinois History War of 1812, Illinois History War of 1812 Campaigns, United States History War of 1812 Campaigns, United States History War of 1812 Participation Indian,,,,,,,,,,,,,,,,
523625,"Encyclopedia of no. 1 hits : the first 25 years (1941-1965) : voice, piano, guitar.",,,[between 1980-1989?],"Warner Bros. Publications,",acmus,camus,NA,cen,2018-10-01T00:00:00.000,3,Popular music,,,,,,,,,,,,,,,,,,,,,
3225523,Is everyone really equal? : an introduction to key concepts in social justice education,"Sensoy, Özlem","080775269X, 0807752703, 9780807752692, 9780807752708",[2012],"Teachers College Press,",acbk,nanf,NA,rbe,2018-04-01T00:00:00.000,1,Educational sociology, Social justice Study and teaching, Multicultural education United States, Social classes United States,,,,,,,,,,,,,,,,,,
1852437,While America watches : televising the Holocaust,"Shandler, Jeffrey",195119355,1999,"Oxford University Press,",acbk,canf,NA,cen,2018-09-01T00:00:00.000,1,Holocaust Jewish 1939 1945 on television United States,,,,,,,,,,,,,,,,,,,,,
3003838,Take back the skies,"Saxon, Lucy","1619633671, 9781619633674",2014,"Bloomsbury,",acbk,nyfic,NA,wts,2018-08-01T00:00:00.000,1,Impersonation Fiction, Airships Fiction, Smuggling Fiction, Adventure and adventurers Fiction, Love Fiction, Fantasy fiction, Young adult fiction,,,,,,,,,,,,,,,
3092959,A court of thorns and roses,"Maas, Sarah J.","1619634449, 9781619634442, 9781619635180",2015,"Bloomsbury,",acbk,nyfic,NA,qna,2018-09-01T00:00:00.000,1,Fairies Juvenile fiction, Blessing and cursing Juvenile fiction, Captivity Juvenile fiction, Magic Juvenile fiction, Imaginary places Juvenile fiction, Tam Lin Legendary character Adaptations Juvenile fiction, Young adult fiction,,,,,,,,,,,,,,,
3263940,Bette Davis,TCM ; presented by Warner Home Video,"0780668006, 9780780668003",[2011],"Warner Home Video,",acdvd,nadvd,Floating,wal,2018-02-01T00:00:00.000,2,Self esteem Drama, Autonomy Drama, Mothers and daughters Drama, Single women Drama, Man woman relationships Drama, Terminally ill Drama, Female friendship Drama, Interpersonal conflict Drama, Jealousy Drama, Women Conduct of life Drama, Revenge Drama, Southern States Social life and customs 1775 1865 Drama, New Orleans La Drama, Feature films, Melodramas Motion pictures, Historical films, Comedy films, Fiction films, Video recordings for the hearing impaired,,,
3113727,Who do you love : a novel,"Weiner, Jennifer","145161781X, 9781451617818",2015,"Atria Books,",acbk,nafic,NA,dth,2018-11-01T00:00:00.000,1,First loves Fiction, Serendipity Fiction, Man woman relationships Fiction, Love stories,,,,,,,,,,,,,,,,,,
2635937,Más de los mejores proyectos para la feria de ciencias,"VanCleave, Janice Pratt","6070500547, 9786070500541",[2009],"Limusa ; Wiley,",jcbk,ccln,NA,cen,2018-02-01T00:00:00.000,1,Science projects Handbooks manuals etc, Science fairs Handbooks manuals etc, Science projects Handbooks manuals etc Juvenile literature, Science projects Juvenile literature, Science fairs Juvenile literature, Spanish language materials,,,,,,,,,,,,,,,,
3065624,STEP into storytime : using StoryTime Effective Practice to strengthen the development of newborns to five-year-olds,"Ghoting, Saroj Nadkarni","0838912222, 9780838912225",2014,"ALA Editions, an imprint of the American Library Association,",acbk,canf,NA,cen,2018-12-01T00:00:00.000,1,Childrens libraries Activity programs United States, Storytelling United States, Libraries and preschool children United States, Libraries and caregivers United States, Preschool children Books and reading United States, Early childhood education Activity programs United States,,,,,,,,,,,,,,,,
739635,From the ground up.,,,[1954?],"Aviation Service Corp.,",arbk,caaero,NA,cen,2018-03-01T00:00:00.000,1,Aeronautics Study and teaching, Airplanes Piloting,,,,,,,,,,,,,,,,,,,,
3285609,Rumble fish,Universal ; directed by Francis Ford Coppola ; screenplay by S.E. Hinton & Francis Coppola ; produced by Fred Roos and Doug Claybourne.,"1681432900, 9781681432908",[2017],"The Criterion Collection,",acdvd,nadvd,Floating,col,2018-06-01T00:00:00.000,1,Gangs Drama, Brothers Drama, Male friendship Drama, Fiction films, Feature films, Video recordings for the hearing impaired,,,,,,,,,,,,,,,,
3358507,My little pony. Legends of magic. Volume 2,"Whitley, Jeremy","1684051584, 9781684051588",2018,"IDW Publishing, a division of Idea and Design Works, LLC,",jcbk,nccomic,NA,glk,2018-07-01T00:00:00.000,1,Ponies Comic books strips etc, Unicorns Comic books strips etc, Magic Comic books strips etc, Friendship Comic books strips etc, My Little Pony Trademark Comic books strips etc, Adventure and adventurers Comic books strips etc, Imaginary histories Comic books strips etc, Cartoons and comics, Fantasy comics, Comics Graphic works, Graphic novels,,,,,,,,,,,
7535,Do you want to be my friend?,"Carle, Eric",9.78069E+12,[1976],"Crowell ; HarperCollins,",jcbk,ncpic,NA,qna,2018-10-01T00:00:00.000,2,Mice Juvenile fiction, Animals Juvenile fiction, Stories without words Juvenile fiction,,,,,,,,,,,,,,,,,,,
2816902,Harlem's little blackbird,"Watson, Renée","0375869735, 037596973X, 9780375869730, 9780375969737",[2012],"Random House Children's Books,",jcbk,ncnf,NA,col,2018-05-01T00:00:00.000,1,Mills Florence 1896 1927 Juvenile literature, African American singers New York State New York Biography Juvenile literature, Singers New York State New York Biography Juvenile literature, Singers Juvenile literature, African Americans Juvenile literature,,,,,,,,,,,,,,,,,
330230,What the citizen should know about the army engineers,"Thompson, Paul W. (Paul Williams), 1906-1996",,[1942],"W.W. Norton,",acbk,cs7,NA,cen,2018-03-01T00:00:00.000,1,United States Army Corps of Engineers,,,,,,,,,,,,,,,,,,,,,
3311685,Africa,"Ham, Anthony","1786571528, 9781786571526",2017,"Lonely Planet Global Limited,",acbk,nanf,NA,dth,2018-02-01T00:00:00.000,1,Africa Guidebooks, Africa Description and travel,,,,,,,,,,,,,,,,,,,,
3356857,This book is red,"Stanton, Beck","0316434493, 9780316434492",2018,"Little, Brown and Company,",jcbk,ncpic,NA,nhy,2018-08-01T00:00:00.000,1,Color Juvenile fiction, Red Juvenile fiction, Humorous stories, Picture books,,,,,,,,,,,,,,,,,,
2085816,Consolidation information packet for Seward school area,Seattle Public Schools,,[[1974],"[The Schools],",arbk,casea,NA,cen,2018-08-01T00:00:00.000,1,Seward Elementary School Seattle Wash, School closings Washington State Seattle, Elementary schools Washington State Seattle, School buildings Washington State Seattle, School facilities Washington State Seattle, Eastlake Seattle Wash,,,,,,,,,,,,,,,,
1253755,I hate Hamlet,"Rudnick, Paul",822205467,[1992],"Dramatists Play Service,",acbk,capf,NA,cen,2018-12-01T00:00:00.000,4,Barrymore John 1882 1942 Drama, Hamlet Legendary character Drama, Actors Drama,,,,,,,,,,,,,,,,,,,
3130322,Coco and the little black dress,"Haeringen, Annemarie van","0735842396, 9780735842397",2015,"North-South Books,",jcbk,ccpic,NA,cen,2018-06-01T00:00:00.000,1,Chanel Coco 1883 1971 Juvenile literature, Women fashion designers France Biography Juvenile literature,,,,,,,,,,,,,,,,,,,,
3386372,Kung Fu body conditioning. DVD 2 : traditional training for endurance and power,"produced and directed by David Silver for YMAA Publication Center ; written by Dr. Yang, Jwing-ming ; YMAA Retreat Center.","1594392293, 9781594392290",2012,"YMAA Publication Center,",acdvd,nadvdnf,Floating,wts,2018-10-01T00:00:00.000,1,Kung fu Training, Martial arts Training, Instructional films, Nonfiction films,,,,,,,,,,,,,,,,,,
2903313,The little house,"Burton, Virginia Lee, 1909-1968","0547790449, 9780547790442",2012,"Houghton Mifflin Harcourt,",jcbk,ncaward,NA,net,2018-06-01T00:00:00.000,3,Dwellings Juvenile fiction, City and town life Juvenile fiction,,,,,,,,,,,,,,,,,,,,
1355911,"The memorare : a collection of Catholic music : containing seven Masses, a short Requiem Mass, Vespers, and a variety of miscellaneous pieces suitable for morning and evening service, and for family or private devotion : with accompaniment for organ or piano-forte","[compiled, and, in part, composed] by Anthony Werner ; with valuable and important additions by A.H. Rosewig.",,[1896],"O. Ditson Co.,",acmus,camus,NA,cen,2018-09-01T00:00:00.000,1,Sacred vocal music Scores,,,,,,,,,,,,,,,,,,,,,
2744911,The best of Thelonious Monk.,"Monk, Thelonious","0793587484, 9780793587483",[2004?],"Hal Leonard,",acmus,camus,NA,cen,2018-10-01T00:00:00.000,1,Piano music Jazz,,,,,,,,,,,,,,,,,,,,,
1751905,1970 study of traffic and parking in Seattle's central business district,Seattle (Wash.). Engineering Department Traffic Engineering Division. Transportation Planning Section.,,[1970],"The Dept.,",arbk,casea,NA,cen,2018-04-01T00:00:00.000,1,Central business districts Washington State Seattle, City traffic Washington State Seattle, Traffic engineering Washington State Seattle, Automobile parking Washington State Seattle,,,,,,,,,,,,,,,,,,
2509151,"S. 2063 : the Bipartisan Task Force for Responsible Fiscal Action Act of 2007 : hearing before the Committee on the Budget, United States Senate, One Hundred Tenth Congress, first session, October 31, 2007 -- S. 2063, the Bipartisan Task Force for Responsible Fiscal Action Act of 2007.",United States. Congress. Senate. Committee on the Budget,"0160801370, 9780160801372",2007,"U.S. G.P.O. : For sale by the Supt. of Docs., U.S. G.P.O.,",armfc,cadocmf,NA,cen,2018-03-01T00:00:00.000,1,Fiscal policy United States, Budget United States Forecasting, Government spending policy United States, United States Appropriations and expenditures Forecasting,,,,,,,,,,,,,,,,,,
3331661,Piggy tales. The complete fourth season,Rovio.,,[2017],"Sony Pictures Home Entertainment,",jcdvd,ncdvd,Floating,cap,2018-07-01T00:00:00.000,1,Swine Juvenile drama, City and town life Juvenile drama, Animated television programs, Childrens television programs, Television comedies, Television series, Fiction television programs,,,,,,,,,,,,,,,
2968761,A curse on Dostoevsky,"Rahimi, Atiq","1590515471, 9781590515471",[2014],"Other Press,",acbk,cafic,NA,cen,2018-06-01T00:00:00.000,1,Afghanistan Fiction, Psychological fiction, Suspense fiction,,,,,,,,,,,,,,,,,,,
2809934,Songs,Rusko (Musician),,[2012],"Mad Decent/Downtown,",accd,cacd,NA,cen,2018-08-01T00:00:00.000,1,Popular music 2011 2020, Electronic dance music,,,,,,,,,,,,,,,,,,,,
3286351,Path to old Talbot,"Elizabeth, Jordan","1544887833, 9781544887838",[2017],"CHBB Publishing,",acbk,nyfic,NA,bal,2018-04-01T00:00:00.000,1,Time travel Juvenile fiction, Dysfunctional families Juvenile fiction, New York State Juvenile fiction, Fantasy fiction, Young adult fiction,,,,,,,,,,,,,,,,,
3115965,Madam Secretary. Season 1,CBS Television Studios.,,[2015],"Paramount Home Entertainment,",acdvd,nadvd,Floating,bal,2018-07-01T00:00:00.000,1,Women cabinet officers Drama, Cabinet officers Drama, International relations Drama, Families Drama, United States Politics and government Drama, Television series, Political television programs, Fiction television programs, Video recordings for the hearing impaired,,,,,,,,,,,,,
2729817,Keep on pushing : Black power music from blues to hip-hop,"Sullivan, Denise","1556528175, 9781556528170",[2011],"Lawrence Hill Books,",acbk,naaanf,NA,dth,2018-09-01T00:00:00.000,1,African Americans Music History and criticism, Black power United States, Blacks Music History and criticism,,,,,,,,,,,,,,,,,,,
2940424,Rude bitches make me tired,"Rivenbark, Celia","1250029236, 9781250029232",2013,"St. Martin's Griffin,",acbk,canf,NA,cen,2018-02-01T00:00:00.000,2,Etiquette Humor,,,,,,,,,,,,,,,,,,,,,
3164132,"Pacific Northwest Post Card Club newsletter, articles, membership form, postcards.",,,2016,"[Pacific Northwest Post Card Club],",arbk,caseapm,NA,cen,2018-08-01T00:00:00.000,1,Postcards Collectors and collecting Washington State Seattle,,,,,,,,,,,,,,,,,,,,,
3305800,Logan lucky,"Universal ; Fingerprint Releasing ; in association with Bleecker Street and Amazon ; directed by Steven Soderbergh ; written by Rebecca Blunt ; produced by Gregory Jacobs, Mark Johnson, Channing Tatum, Reid Carolin.",,[2017],"Universal Pictures Home Entertainment,",acdvd,nadvd,Floating,dlr,2018-04-01T00:00:00.000,2,Coca Cola 600 Automobile race Drama, Brothers Drama, Robbery Drama, North Carolina Drama, Feature films, Caper films, Comedy films, Fiction films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities,,,,,,,,,,,,
3310356,The armageddon file,"Coonts, Stephen, 1946-","1621576590, 9781621576594",[2017],"Regnery Fiction,",acbk,nafic,NA,cap,2018-07-01T00:00:00.000,1,Presidents Election Fiction, Conspiracies Fiction, Political fiction, Thrillers Fiction,,,,,,,,,,,,,,,,,,
158267,The design of books.,"Wilson, Adrian",,[1967],"Reinhold Pub. Corp.,",acbk,canf,NA,cen,2018-06-01T00:00:00.000,1,Book design,,,,,,,,,,,,,,,,,,,,,
3025084,Be Italiya berehāwoč : šāmbal ʾAbdiśā ʾAgā : baʾarbañenat jabdu yeśere yaʾItyopyā tārik = the story of a hero-patriot of the Italo-Ethiopian war,Abdissa Aga,,[2013?],"[publisher not identified],",acbk,caln,NA,cen,2018-06-01T00:00:00.000,1,Abdissa Aga, Italo Ethiopian War 1935 1936 Personal narratives Ethiopian, World War 1939 1945 Underground movements Italy, World War 1939 1945 Personal narratives Ethiopian,,,,,,,,,,,,,,,,,,
732916,"Journey through the years; New Straitsville centennial, 1870-1970.","Centennial Committee of New Straitsville, Ohio.",,[1970],"[publisher not identified],",arbk,caref,NA,cen,2018-11-01T00:00:00.000,1,New Straitsville Ohio,,,,,,,,,,,,,,,,,,,,,
2064407,Chess for kids,"Basman, Michael","078946540X, 1442057025, 9780756618070, 9781442057029",2001,"Dorling Kindersley Pub.,",jcbk,ncnf,NA,bal,2018-08-01T00:00:00.000,1,Chess for children Juvenile literature, Chess Juvenile literature,,,,,,,,,,,,,,,,,,,,
2873258,Crappy children's art,Maddox,"1439182884, 9781439182888",2012,"Gallery Books,",acbk,nanf,NA,bal,2018-03-01T00:00:00.000,1,Children Humor, Art Humor,,,,,,,,,,,,,,,,,,,,
1794579,Annual report,United States. Equal Employment Opportunity Commission,,1967-,"The Commission : For sale by the Supt. of Docs, U.S. G.P.O.,",armfc,cadocmf,NA,cen,2018-06-01T00:00:00.000,2,United States Equal Employment Opportunity Commission Periodicals, Discrimination in employment United States Periodicals,,,,,,,,,,,,,,,,,,,,
2152264,Seattle's financial dilemma,"Lindsay, Madelyn M.",,[1969],"[The Office?],",arbk,casea,NA,cen,2018-10-01T00:00:00.000,1,Finance Public Washington State Seattle, Seattle Wash Appropriations and expenditures,,,,,,,,,,,,,,,,,,,,
