bibnum,title,author,isbn,publicationyear,publisher,itemtype,itemcollection,floatingitem,itemlocation,reportdate,itemcount,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,subject_10,subject_11,subject_12,subject_13,subject_14,subject_15,subject_16,subject_17,subject_18,subject_19,subject_20,subject_21,subject_22
2713013,Secrets of a proper countess,"Cornwall, Lecia","0062018930, 9780062018939",[2011],"Avon Books,",acbk,cafic,NA,cen,2018-07-01T00:00:00.000,1,Man woman relationships Fiction, Nobility England 19th century Fiction, Love stories, Historical fiction, Regency fiction,,,,,,,,,,,,,,,,,
3290346,Meetings with remarkable manuscripts : twelve journeys into the medieval world,"De Hamel, Christopher, 1950-","1594206112, 9781594206115",2017,"Penguin Press,",acbk,nanf,NA,qna,2018-09-01T00:00:00.000,1,St Augustine Gospels Pictorial works, Codex Amiatinus Pictorial works, Book of Kells Pictorial works, Rijksuniversiteit te Leiden Bibliotheek Manuscript Voss Lat Q 79 Pictorial works, Ashburnham Morgan Beatus Manuscript Pictorial works, Bodleian Library Manuscript Bodley 717 Pictorial works, Kongelige Bibliotek Denmark Manuscript Thott 143 2o Pictorial works, Carmina Burana Pictorial works, BibliothŠque nationale de France Manuscript Nouv acq lat 3145 Pictorial works, Hengwrt manuscript Pictorial works, Rossiiskaia natsionalnaia biblioteka Manuscript Lat Q v XVII 2 Pictorial works, J Paul Getty Museum Manuscript Ludwig IX 18 Pictorial works, Bible Manuscripts Latin, Manuscripts European, Manuscripts Medieval, Illumination of books and manuscripts Medieval, Books of hours Pictorial works,,,,,
311755,Spies and informers in the witness box.,"Pritt, D. N. (Denis Nowell), 1887-1972",,1958,"B. Hanison,",arbk,cs6r,NA,cen,2018-09-01T00:00:00.000,1,Witnesses, Spies, Informers,,,,,,,,,,,,,,,,,,,
3017812,Deep fantasy,White Lung (Musical group),,[2014],"Domino Recording Co.,",accd,nacd,Floating,glk,2018-04-01T00:00:00.000,1,Rock music 2011 2020,,,,,,,,,,,,,,,,,,,,,
2615786,In and out of control,Raveonettes (Musical group),,[2009],"Vice Music,",accd,nacd,Floating,bal,2018-10-01T00:00:00.000,1,Popular music 2001 2010, Rock music 2001 2010,,,,,,,,,,,,,,,,,,,,
3269990,Mean dreams,"Elevation Pictures ; a Woods Entertainment production ; in association with Euclid 431, Tip-Top Productions, Sugar Shack Productions, Project AMB, JoBro Productions & Film Finance, and Vigilante Productions, The Coronel Group, Scythia Films ; produced with the participation of Telefilm Canada, The Northern Ontario Heritage Fund, Ontario Media Development Corporation ; produced by William Woods, Allison Black ; written by Kevin Coughlin & Ryan Grassby ; directed by Nathan Morlando.",,[2017],"Vertical Entertainment,",acdvd,nadvd,Floating,rbe,2018-07-01T00:00:00.000,1,Child abuse Drama, Runaway teenagers Drama, Feature films, Thrillers Motion pictures, Fiction films, Video recordings for the hearing impaired,,,,,,,,,,,,,,,,
2794875,Not my blood,"Cleverly, Barbara","1616951540, 9781616951542",[2012],"Soho Crime,",acbk,namys,Floating,rbe,2018-02-01T00:00:00.000,1,Sandilands Joe Fictitious character Fiction, Boarding schools England Fiction, Mystery fiction, Historical fiction,,,,,,,,,,,,,,,,,,
2858619,Ghost dance in Berlin : a rhapsody in gray,"Wortsman, Peter","1609520785, 9781609520786",[2013],"Travelers' Tales/Solas House, Inc.,",acbk,nanf,NA,cap,2018-10-01T00:00:00.000,1,Berlin Germany Description and travel, Berlin Germany History, Berlin Germany Social life and customs,,,,,,,,,,,,,,,,,,,
1899361,Something shining : new poems,"Halpern, Daniel, 1945-",375407332,1999,"Alfred A. Knopf,",acbk,canf,NA,cen,2018-04-01T00:00:00.000,1,,,,,,,,,,,,,,,,,,,,,,
3198122,The trial,"Patterson, James, 1947-","0316317152, 9780316317153",2016,"BookShots/Little, Brown and Company,",acbk,namys,Floating,rbe,2018-02-01T00:00:00.000,1,Womens Murder Club Imaginary organization Fiction, Women detectives California San Francisco Fiction, Trials Murder Fiction, Detective and mystery fiction, Thrillers Fiction, Legal fiction Literature,,,,,,,,,,,,,,,,
2919183,Canadian wineries,"Aspler, Tony, 1939-","1770852441, 9781770852440",[2013],"Firefly Books,",acbk,nanf,NA,nga,2018-01-01T00:00:00.000,1,Wineries Canada, Wine and wine making Canada,,,,,,,,,,,,,,,,,,,,
389054,The housekeeper,"Prideaux, James",,[1984],"Dramatists Play Service,",acbk,canf,NA,cen,2018-03-01T00:00:00.000,1,,,,,,,,,,,,,,,,,,,,,,
638164,Regulatory guide 8.1 radiation symbol.,U.S. Nuclear Regulatory Commission. Office of Nuclear Regulatory Research,,[1973],"U.S. Nuclear Regulatory Commission, Office of Nuclear Regulatory Research,",armfc,cadocmf,NA,cen,2018-09-01T00:00:00.000,1,,,,,,,,,,,,,,,,,,,,,,
3224299,Walk away,"Hawken, Sam","031629926X, 9780316299268",2017,"Mulholland Books/Little, Brown and Company,",acbk,nafic,NA,dth,2018-05-01T00:00:00.000,1,Sisters Fiction, Veterans Fiction, Thrillers Fiction,,,,,,,,,,,,,,,,,,,
365675,Detailed land classification--Island of Hawaii.,University of Hawaii (Honolulu). Land Study Bureau,,1965,"[publisher not identified],",arbk,cs6r,NA,cen,2018-08-01T00:00:00.000,1,Land use, Land use Hawaii,,,,,,,,,,,,,,,,,,,,
1970009,"What life was like in the lands of the Prophet : Islamic world, AD 570-1405",by the editors of Time-Life Books.,783554656,[1999],"Time-Life Books,",acbk,canf,NA,cen,2018-06-01T00:00:00.000,1,Islamic civilization, Islamic Empire Social life and customs, Islamic Empire Social conditions,,,,,,,,,,,,,,,,,,,
2508673,Eva y la tarta,"D'Amico, Carmela","8467520191, 9788467520194",[2007],"Ediciones SM,",jcbk,ccln,NA,cen,2018-01-01T00:00:00.000,1,Elephants Juvenile fiction, Bakers and bakeries Fiction, Spanish language materials Fiction,,,,,,,,,,,,,,,,,,,
2559095,Big George : how a shy boy became President Washington,"Rockwell, Anne F.",9.78015E+12,2009,"Harcourt,",jcbk,ncnf,NA,swt,2018-04-01T00:00:00.000,1,Washington George 1732 1799 Juvenile literature, Presidents United States Biography Juvenile literature, Presidents Juvenile literature,,,,,,,,,,,,,,,,,,,
3194226,Berry's Halloween costume trouble : read-along storybook and CD,"Green, Rico","1484747070, 9781484747070",2016,"Disney Press,",jccd,nckit,NA,bea,2018-12-01T00:00:00.000,1,Animals Juvenile fiction, Halloween Juvenile fiction, Parties Juvenile fiction, Childrens audiobooks, Audiobooks,,,,,,,,,,,,,,,,,
2574482,The age of wonder : how the romantic generation discovered the beauty and terror of science,"Holmes, Richard, 1945-","0375422226, 9780375422225",[2009],"Pantheon Books,",acbk,canf,NA,cen,2018-12-01T00:00:00.000,5,Science Great Britain History 18th century, Discoveries in science Great Britain History 18th century,,,,,,,,,,,,,,,,,,,,
3337980,"The 12-week diabetes cookbook : your super simple plan for organizing, budgeting, and cooking amazing dinners","Gassenheimer, Linda","1580406769, 9781580406765",[2018],"American Diabetes Association,",acbk,nanf,NA,glk,2018-08-01T00:00:00.000,1,Diabetes Diet therapy Recipes, Low budget cooking, Cookbooks,,,,,,,,,,,,,,,,,,,
3265934,The case of the poached egg,"Newman, Robin","193954730X, 9781939547309",[2017],"Creston Books,",jcbk,ccef,NA,cen,2018-06-01T00:00:00.000,1,Mice Juvenile fiction, Farms Juvenile fiction, Eggs Juvenile fiction, Mystery and detective stories,,,,,,,,,,,,,,,,,,
3254889,"The choice for love : entering into a new, enlightened relationship with yourself, others & the world","De Angelis, Barbara","140195197X, 9781401951979",[2017],"Hay House, Inc.,",acbk,nanf,NA,bal,2018-04-01T00:00:00.000,1,Self actualization Psychology, Man woman relationships, Love,,,,,,,,,,,,,,,,,,,
3276927,The future of work and death,"Gadfly Productions ; in association with Serious Wonder ; directed, written and produced by Sean Blacknell & Wayne Walsh ; executive producer, Gray Scott.",,c2016.,"First Run Features,",acdvd,nadvdnf,Floating,glk,2018-02-01T00:00:00.000,1,Technology Social aspects, Technology and civilization, Forecasting, Nonfiction films, Documentary films, Video recordings for the hearing impaired,,,,,,,,,,,,,,,,
2343367,The gypsies & other narrative poems,"Pushkin, Aleksandr Sergeevich, 1799-1837","1567922724, 1567923054, 9781567922721, 9781567923056",2006,"David R. Godine,",acbk,canf,NA,cen,2018-03-01T00:00:00.000,1,Pushkin Aleksandr Sergeevich 1799 1837 Translations into English,,,,,,,,,,,,,,,,,,,,,
3160527,The Danish girl,"Focus Features ; a Working Title/Pretty Pictures production in association with Revision Pictures and Senator Global Productions ; directed by Tom Hooper ; produced by Gail Mutrux, Anne Harrison, Tim Bevan, Eric Fellner, Tom Hooper ; screenplay by Lucinda Coxon.",,[2016],"Universal Studios Home Entertainment,",acdvd,nadvd,Floating,rbe,2018-02-01T00:00:00.000,1,Elbe Lili 1882 1931 Drama, Wegener Gerda Drama, Transgender artists Drama, Transgender people Drama, Marriage Drama, Artists Drama, Biographical films, Fiction films, Feature films, Video recordings for the hearing impaired,,,,,,,,,,,,
3006930,Teen Titans go! Couch crusaders,Warner Bros. Animation ; DC Comics.,,[2014],"[Publisher not identified],",jcdvd,ccdvd,NA,cen,2018-05-01T00:00:00.000,1,Teen Titans Fictitious characters Juvenile drama, Teenagers Juvenile drama, Superheroes Juvenile drama, Television series, Childrens television programs, Animated television programs, Television comedies, Superhero television programs, Fiction television programs, Video recordings for the hearing impaired,,,,,,,,,,,,
2707702,Kat's maps,"Scieszka, Jon","1416941592, 9781416941590",2011,"Simon Spotlight,",jcbk,ncrdr,Floating,net,2018-11-01T00:00:00.000,1,Maps Juvenile fiction, Drawing Juvenile fiction,,,,,,,,,,,,,,,,,,,,
3332251,El pez pucheros,"Diesen, Deborah","0374305048, 9780374305048",[2016],"Farrar Straus Giroux,",jcbk,ncln,NA,bea,2018-10-01T00:00:00.000,1,Fishes Juvenile fiction, Marine animals Juvenile fiction, Friendship Juvenile fiction, Attitude Psychology Juvenile fiction, Spanish language materials,,,,,,,,,,,,,,,,,
3198521,"Amaro : the spirited world of bittersweet, herbal liqueurs with cocktails, recipes, and formulas","Parsons, Brad Thomas","1607747480, 9781607747482",[2016],"Ten Speed Press,",acbk,nanf,NA,uni,2018-07-01T00:00:00.000,1,Cocktails, Bitters, Bitterness Taste, Sweetness Taste, Cookbooks,,,,,,,,,,,,,,,,,
1105439,Trademarks & symbols of the world,[edited] by Yasaburo Kuwayama.,"0935603301, 476010450X",1988-1989.,"Rockport Publishers ; Distributed by North Light Books,",acbk,canf,NA,cen,2018-10-01T00:00:00.000,1,Trademarks Catalogs, Signs and symbols Catalogs,,,,,,,,,,,,,,,,,,,,
3183111,Black Panther. A nation under our feet. Book one,"Coates, Ta-Nehisi","1302900536, 9781302900533",[2016],"Marvel Worldwide, Inc.,",acbk,nycomic,NA,rbe,2018-05-01T00:00:00.000,1,Black Panther Fictitious character Comic books strips etc, Superheroes Comic books strips etc, Kings and rulers Comic books strips etc, Insurgency Comic books strips etc, Comic books strips etc United States, Africa Comic books strips etc, Superhero comics, Comics Graphic works, Graphic novels,,,,,,,,,,,,,
2861617,On politics : a history of political thought from Hobbes to the present,"Ryan, Alan, 1940-","0871404656, 9780871404657",2012,"W. W. Norton & Co.,",acbk,nanf,NA,bal,2018-02-01T00:00:00.000,1,Political science Philosophy History, Political scientists History,,,,,,,,,,,,,,,,,,,,
3282126,The immortal life of Henrietta Lacks,"HBO Films ; a Your Face Goes Here Entertainment, Harpo Films, Cine Mosaic production ; produced by Kathryn Dean ; screenplay by Peter Landesman, Alexander Woo, George C. Wolfe ; directed by George C. Wolfe.","6316985339, 9786316985330",[2017],"HBO Home Video ; distributed by Warner Home Video,",acdvd,nadvd,Floating,fre,2018-06-01T00:00:00.000,1,Lacks Henrietta 1920 1951 Drama, African American women Drama, Cancer Patients Drama, Human experimentation in medicine Drama, HeLa cells Drama, Made for TV movies, Biographical television programs, Historical television programs, Fiction television programs, Video recordings for the hearing impaired,,,,,,,,,,,,
2107258,Left for dead : a young man's search for justice for the USS Indianapolis,"Nelson, Peter, 1953-","0385729596, 0385730918, 0385900333, 9780385729598, 9780385730914, 9780385900331",2002,"Delacorte Press,",acbk,nynf,NA,bal,2018-12-01T00:00:00.000,1,McVay Charles Butler 1968 Trials litigation etc Juvenile literature, Scott Hunter 1985 Juvenile literature, Indianapolis Cruiser Juvenile literature, Trials Naval offenses United States Juvenile literature, World War 1939 1945 Naval operations American Juvenile literature, Trials Naval offenses Juvenile literature,,,,,,,,,,,,,,,,
3113912,Tucky Jo and Little Heart,"Polacco, Patricia","1481415840, 9781481415842",2015,"Simon & Schuster Books for Young Readers,",jcbk,ncpic,NA,bal,2018-01-01T00:00:00.000,1,Soldiers Juvenile fiction, Kindness Juvenile fiction, World War 1939 1945 Philippines Juvenile fiction, Philippines History Japanese occupation 1942 1945 Juvenile fiction,,,,,,,,,,,,,,,,,,
3195561,The trouble with babies,"Mills, Claudia","038539165X, 0385391668, 9780385391658, 9780385391665",[2016],"Alfred A. Knopf,",jcbk,ccfic,NA,cen,2018-02-01T00:00:00.000,1,Infants Juvenile fiction, Science fairs Juvenile fiction, Schools Juvenile fiction, Babies Fiction,,,,,,,,,,,,,,,,,,
1321714,Native peoples : the journal of the Heard Museum.,,,©1987-,"Heard Museum,",arper,caper,NA,cen,2018-04-01T00:00:00.000,5,Indians of North America Periodicals, Indians of North America Southwest New Periodicals,,,,,,,,,,,,,,,,,,,,
2508043,More information than you require,"Hodgman, John","0525950346, 9780525950349",[2008],"Dutton,",acbk,nanf,NA,bro,2018-03-01T00:00:00.000,1,American wit and humor,,,,,,,,,,,,,,,,,,,,,
2152266,Seattle seeks a tax,"Peabody, Robert L.",,c1959.,"Published for the ICP by University of Alabama Press,",arpam,caseapm,NA,cen,2018-06-01T00:00:00.000,1,Sales tax Washington State Seattle, Municipal revenue Washington State Seattle, Finance Public Washington State Seattle, Taxation Washington State Seattle,,,,,,,,,,,,,,,,,,
3304376,Amid stars and darkness,"Feener, Chani Lynn","1250123763, 9781250123763",2017,"Swoon Reads,",acbk,nyfic,NA,dth,2018-02-01T00:00:00.000,1,Impersonation Juvenile fiction, Princesses Juvenile fiction, Mistaken identity Juvenile fiction, Arranged marriage Juvenile fiction, Kidnapping Juvenile fiction, Extraterrestrial beings Juvenile fiction, Human alien encounters Juvenile fiction, Space warfare Juvenile fiction, Young adult fiction,,,,,,,,,,,,,
3068481,"I, fly : the buzz about flies and how awesome they are","Heos, Bridget","0805094695, 9780805094695",2015,"Henry Holt and Company,",jcbk,ncenf,NA,mag,2018-12-01T00:00:00.000,1,Housefly Life cycles Juvenile literature, Housefly Juvenile literature,,,,,,,,,,,,,,,,,,,,
2297042,The postman,"Brin, David",553278746,1997,"Bantam Books,",acbk,nasf,NA,wts,2018-05-01T00:00:00.000,1,World War III Fiction, Oregon Fiction, Science fiction,,,,,,,,,,,,,,,,,,,
3286430,The trick : a novel,"Bergmann, Emanuel, 1972-","1501155822, 9781501155826",2017,"Atria Books,",acbk,nafic,NA,col,2018-07-01T00:00:00.000,1,Jewish families Fiction, Magicians Fiction, Boys Fiction,,,,,,,,,,,,,,,,,,,
2395872,Independence day,"Ford, Richard, 1944-","0679492658, 0679735186, 9780679492658, 9780679735182",1996,"Vintage Books,",acbk,nafic,NA,swt,2018-12-01T00:00:00.000,1,Real estate agents New Jersey Fiction, Fathers and sons New Jersey Fiction, Divorced men New Jersey Fiction, New Jersey Fiction, Domestic fiction,,,,,,,,,,,,,,,,,
2507356,12 x 5,Rolling Stones,,"[2002, p1964]","ABKCO,",accd,nacd,Floating,hip,2018-03-01T00:00:00.000,1,Rock music 1961 1970,,,,,,,,,,,,,,,,,,,,,
3263864,Always a bridesmaid,"Shane, Lizzie","1537501216, 9781537501215",c2016.,"[Publisher not identified],",acbk,nafic,NA,bal,2018-09-01T00:00:00.000,1,Man woman relationships Fiction, Romance fiction,,,,,,,,,,,,,,,,,,,,
2915540,The hired man,"Forna, Aminatta","0802121918, 9780802121912",[2013],"Atlantic Monthly Press,",acbk,cafic,NA,cen,2018-11-01T00:00:00.000,2,British Croatia Fiction, City and town life Fiction, Mosaics Fiction, Revenge Fiction, Croatia Fiction,,,,,,,,,,,,,,,,,
25863,The challenge of German literature.,"Daemmrich, Horst S., 1930-",081431435X,1971,"Wayne State University Press,",acbk,canf,NA,cen,2018-02-01T00:00:00.000,1,German literature History and criticism,,,,,,,,,,,,,,,,,,,,,
1784969,The fiscal year 1990 Foreign Relations Authorization Act : report together with additional views (to accompany S. 1160).,United States. Congress. Senate. Committee on Foreign Relations,,[1989],"[U.S. G.P.O.],",armfc,cadocmf,NA,cen,2018-07-01T00:00:00.000,1,United States Department of State Appropriations and expenditures, United States Information Agency Appropriations and expenditures, United States Board for International Broadcasting Appropriations and expenditures, United States Appropriations and expenditures 1990,,,,,,,,,,,,,,,,,,
1781911,"Providing for the consideration of H.R. 2746, the Helping Empower Low-income Parents (HELP) Scholarships Amendments of 1997 and H.R. 2616, the Charter Schools Amendments of 1997 : report (to accompany H. Res. 288).",United States. Congress. House. Committee on Rules,,[1997],"[U.S. G.P.O.],",armfc,cadocmf,NA,cen,2018-03-01T00:00:00.000,1,Charter schools Law and legislation United States, Education Finance Law and legislation United States,,,,,,,,,,,,,,,,,,,,
2511493,Greek myths,"Lock, Deborah","0756640164, 9780756640163",2008,"DK,",jcbk,ncenf,NA,swt,2018-09-01T00:00:00.000,1,Mythology Classical Juvenile literature,,,,,,,,,,,,,,,,,,,,,
3171667,"Love & friendship : in which Jane Austen's Lady Susan Vernon is entirely vindicated : concerning the beautiful Lady Susan Vernon, her cunning daughter & the strange antagonism of the DeCourcy family","Stillman, Whit, 1952-","0316294128, 9780316294126",2016,"Little, Brown and Company,",acbk,nafic,NA,net,2018-12-01T00:00:00.000,1,Widows Fiction, Mate selection Fiction, Mothers and daughters Fiction, England Fiction, Humorous fiction, Regency fiction, Movie novels, Humorous fiction,,,,,,,,,,,,,,
588644,Study to determine the feasibility for automation of the functions of the Division of Family and Youth Services of the Department of Human Resources,"Fischer, Karl",,[1983],"[publisher not identified],",arbk,caseapm,NA,cen,2018-07-01T00:00:00.000,1,Seattle Wash Department of Human Resources Automation, Family services Washington State Seattle, Youth Services for Washington State Seattle, Children Services for Washington State Seattle,,,,,,,,,,,,,,,,,,
3143946,Toilets,"Mattern, Joanne, 1963-","0531213722, 0531214605, 9780531213728, 9780531214602",2016,"Children's Press, an imprint of Scholastic Inc.,",jcbk,ncnf,NA,mon,2018-01-01T00:00:00.000,1,Toilets Juvenile literature,,,,,,,,,,,,,,,,,,,,,
2792339,Oliver,"Rossell, Judith","0062022105, 9780062022103",[2012],"Harper,",jcbk,ncpic,NA,net,2018-05-01T00:00:00.000,2,Imagination Fiction, Penguins Juvenile fiction, Mothers and sons Juvenile fiction,,,,,,,,,,,,,,,,,,,
3055109,Poppy the pirate dog and the missing treasure,"Kessler, Liz","0763674974, 9780763674977",2015,"Candlewick Press,",jcbk,ncrdr,Floating,swt,2018-06-01T00:00:00.000,1,Dogs Juvenile fiction, Cats Juvenile fiction, Birthdays Juvenile fiction, Turtles Juvenile fiction, Pirates Juvenile fiction,,,,,,,,,,,,,,,,,
1928264,Joseph had a little overcoat,"Taback, Simms",670878553,1999,"Viking,",jcbk,ncpic,NA,mag,2018-11-01T00:00:00.000,1,Coats Juvenile fiction, Clothing and dress Juvenile fiction,,,,,,,,,,,,,,,,,,,,
3307734,A son called Gabriel : a novel,"McNicholl, Damian","1681775042, 9781681775043",2017,"Pegasus Books Ltd.,",acbk,nafic,NA,swt,2018-04-01T00:00:00.000,1,Young men Northern Ireland Fiction, Gay men Northern Ireland Fiction, Northern Ireland Social conditions Fiction,,,,,,,,,,,,,,,,,,,
3386288,The Warsaw Ghetto in American art and culture,"Baskind, Samantha,","0271078707, 9780271078700",[2018],"The Pennsylvania State University Press,",acbk,canew,NA,cen,2018-08-01T00:00:00.000,1,Getto warszawskie Warsaw Poland In popular culture, Jews in popular culture United States,,,,,,,,,,,,,,,,,,,,
1904822,Waiting,"Jin, Ha, 1956-","0375406530, 0375706410",1999,"Pantheon Books,",acbk,nafic,NA,gwd,2018-11-01T00:00:00.000,1,China History 1949 1976 Fiction,,,,,,,,,,,,,,,,,,,,,
1811467,Using the Internet in election offices,"Maidenberg, David H.",,[1998],"Office of Election Administration, Federal Election Commission,",acbk,canf,NA,cen,2018-07-01T00:00:00.000,1,Elections United States Computer network resources, Internet United States, Electronic mail systems United States, World Wide Web,,,,,,,,,,,,,,,,,,
512801,Birds of Crater Lake National Park,"Follett, Dick",,1979,"Crater Lake Natural History Association,",acbk,canf,NA,cen,2018-03-01T00:00:00.000,1,Birds Oregon Crater Lake National Park,,,,,,,,,,,,,,,,,,,,,
3342724,A dog and pony show,"Lionsgate ; Grindstone Entertainment Group ; D Street Films ; Paseo Miramar Pictures ; WeatherVane Productions ; in association with Hollywood Media Bridge, Gazelle Entertainment, Alpha Hollywood Studios ; produced by Jerry Bryant, Matthew J. Parker ; story by Jerry Bryant & Cory Tynan ; written by Jerry Bryant & Cory Tynan & Rolfe Kanefsky ; directed by Demetrius Navarro.",,[2018],"Lions Gate Entertainment,",jcdvd,ncdvd,Floating,idc,2018-08-01T00:00:00.000,1,Dogs Drama, Circus Drama, Thieves Drama, Feature films, Fiction films, Childrens films, Animal films, Video recordings for the hearing impaired,,,,,,,,,,,,,,
584801,Generation X : tales for an accelerated culture,"Coupland, Douglas",031205436X,1991,"St. Martin's Press,",acbk,nafic,NA,net,2018-11-01T00:00:00.000,1,,,,,,,,,,,,,,,,,,,,,,
23615,How to improve the high school band sound,"Pizer, Russell A.",134131207,[1976],"Parker Pub. Co.,",acbk,cs8,NA,cen,2018-02-01T00:00:00.000,1,Bands Music Instruction and study,,,,,,,,,,,,,,,,,,,,,
2940658,"A thousand hills to heaven : love, hope, and a restaurant in Rwanda","Ruxin, Josh","0316232912, 9780316232913",2013,"Little, Brown and Company,",acbk,nanf,NA,cap,2018-09-01T00:00:00.000,1,Ruxin Josh, Ruxin Alissa, Americans Rwanda Biography, Restaurateurs Rwanda, Rwanda Description and travel,,,,,,,,,,,,,,,,,
3209336,Sticker girl,"Tashjian, Janet","1627793356, 9781627793353",2016,"Henry Holt and Company,",jcbk,ncfic,NA,col,2018-09-01T00:00:00.000,1,Self confidence Juvenile fiction, Imagination Juvenile fiction, Stickers Juvenile fiction, Magic Juvenile fiction,,,,,,,,,,,,,,,,,,
247845,"Family historical record of the descendants of John Raska and wife, Theresa Mozisek.","Cloquet, Victor A.",,1968,"[publisher not identified],",arbk,caref,NA,cen,2018-12-01T00:00:00.000,1,Raska family,,,,,,,,,,,,,,,,,,,,,
3215292,How a house is built,Dreamscape ; produced by Ryan Swenar ; written and illustrated by Gail Gibbons.,"152004576X, 9781520045764",[2016],"Dreamscape Media, LLC,",jcdvd,ncdvdnf,Floating,net,2018-02-01T00:00:00.000,1,House construction Juvenile films, Childrens films, Nonfiction films, Short films, Animated films, Video recordings for the hearing impaired,,,,,,,,,,,,,,,,
2724738,"Statue of Liberty : Liberty, enlightening the world","Mann, Elizabeth, 1948-","1931414432, 9781931414432",2011,"Mikaya Press ; Distributed in North America by Firefly Books,",jcbk,ccnf,NA,cen,2018-05-01T00:00:00.000,1,Laboulaye douard 1811 1883 Juvenile literature, Bartholdi Fr‚d‚ric Auguste 1834 1904 Juvenile literature, Statue of Liberty New York N Y History Juvenile literature, Monuments New York State New York Design and construction Juvenile literature, Statue of Liberty New York N Y, Statue of Liberty National Monument N Y and N J Juvenile literature,,,,,,,,,,,,,,,,
3383543,Yang guang xia de zui e,"Christie, Agatha, 1890-1976,","7513315477, 9787513315470",2014,"Xin xing chu ban she,",acbk,naln,NA,lcy,2018-10-01T00:00:00.000,1,Poirot Hercule Fictitious character Fiction, Private investigators England Fiction, Detective and mystery fiction, Mystery fiction,,,,,,,,,,,,,,,,,,
2600150,Angola,"Sheehan, Sean, 1951-","0761448454, 9780761448457",2010,"Marshall Cavendish Benchmark,",jcbk,ncnf,NA,cap,2018-01-01T00:00:00.000,1,Angola Juvenile literature,,,,,,,,,,,,,,,,,,,,,
2668863,The complete book of breastfeeding,"Olds, Sally Wendkos","0761151133, 9780761151135",[2010],"Workman Pub.,",acbk,nanf,NA,bal,2018-02-01T00:00:00.000,1,Breastfeeding, Mothers Health and hygiene,,,,,,,,,,,,,,,,,,,,
3346842,The sword of the Silver Knight,"Warner, Gertrude Chandler, 1890-1979,","0807508764, 9780807508763",[2005],"Albert Whitman & Company,",jcbk,ncef,NA,wts,2018-06-01T00:00:00.000,1,Boxcar children Fictitious characters Juvenile fiction, Fairs Juvenile fiction, Brothers and sisters Juvenile fiction, Swords Juvenile fiction, Orphans Juvenile fiction, Mystery and detective stories,,,,,,,,,,,,,,,,
2958941,Artpop,Lady Gaga,,p2013.,"Streamline/Interscope,",accd,nacd,Floating,wal,2018-04-01T00:00:00.000,1,Popular music 2011 2020,,,,,,,,,,,,,,,,,,,,,
2968813,Nicky's family,"Trigon Production ; written by Matej Minac, Patrik Pass ; directed by Matej Minac ; produced by Patrik Pass, Matej Minac.",,[2013],"Menemsha Films,",acdvd,nadvdnf,Floating,qna,2018-07-01T00:00:00.000,1,Winton Nicholas 1909 2015, Righteous Gentiles in the Holocaust Czech Republic, World War 1939 1945 Jews Rescue Czech Republic, Jewish children in the Holocaust Czech Republic, Kindertransports Rescue operations Great Britain, Nonfiction films, Documentary films, Historical films,,,,,,,,,,,,,,
3099960,Princess Juniper of the Hourglass,"Paquette, Ammi-Joan","0399171517, 9780399171512",[2015],"Philomel Books, an imprint of Penguin Group (USA),",jcbk,ncfic,NA,col,2018-10-01T00:00:00.000,1,Princesses Juvenile fiction, Kings and rulers Juvenile fiction, Cousins Juvenile fiction, Friendship Juvenile fiction, Conspiracies Juvenile fiction, Kings queens rulers etc Fiction,,,,,,,,,,,,,,,,
3361876,The Timothy Leary project,"Ulrich, Jennifer","1419726463, 9781419726460",2018,"Abrams Press,",acbk,nanew,NA,cap,2018-08-01T00:00:00.000,1,Leary Timothy 1920 1996, Psychologists United States Biography, Leary Timothy 1920 1996 Works Selections, Counterculture United States History 20th century,,,,,,,,,,,,,,,,,,
2385506,Messages from Mars,"Leedy, Loreen","0823419541, 9780823419548",2006,"Holiday House,",jcbk,ncnf,NA,gwd,2018-04-01T00:00:00.000,1,Space flight to Mars Juvenile literature, Mars Planet Juvenile literature,,,,,,,,,,,,,,,,,,,,
2631271,The stack and tilt swing : the definitive guide to the swing that is remaking golf,"Bennett, Michael, 1967-","1592404472, 9781592404476",[2009],"Gotham Books,",acbk,canf,NA,cen,2018-09-01T00:00:00.000,1,Swing Golf,,,,,,,,,,,,,,,,,,,,,
3268806,Season of crimson blossoms,"Ibrahim, Abubakar Adam","1911115006, 9781911115007",[2016],"Cassava Republic Press,",acbk,nafic,NA,col,2018-08-01T00:00:00.000,1,Widows Nigeria Fiction, Man woman relationships Nigeria Fiction, Nigeria Social life and customs Fiction, Nigeria Social conditions Fiction,,,,,,,,,,,,,,,,,,
3342749,Ni shi guang yin pai de tang = You are the candy of time,Aiheshui.,"7559402194, 9787559402196",2017,"Jiangsu Feng Huang wen yi chu ban she,",acbk,naln,NA,idc,2018-09-01T00:00:00.000,1,Romance fiction Chinese, Chinese fiction 21st century,,,,,,,,,,,,,,,,,,,,
3336691,If the fates allow : an LGBTQ holiday anthology,edited by Annie Harper.,"194505347X, 9781945053474",[2017],"Interlude Press,",acbk,naglc,NA,cap,2018-12-01T00:00:00.000,1,Gays Fiction, Interpersonal relations Fiction, Christmas fiction, Short stories,,,,,,,,,,,,,,,,,,
